,title,type
0,Doc strings omitted from AST,5
1,Upload failed (400): Digests do not match on .tar.gz ending with x0d binary code,4
3,ConfigParser writes a superfluous final blank line,5
4,ApplePersistenceIgnoreState warning on macOS,5
5,Implement PEP 529 for os.getcwdb on Windows,5
6,make test.support.temp_cwd() fork-safe,5
7,csv.reader() to support QUOTE_ALL,6
8,IDLE: make smart indent after comment line consistent,5
9,xml.etree.ElementInclude does not include nested xincludes,6
10,Improve -O docs,5
11,Raise non-silent warning for invalid escape sequences,5
12,IDLE: Fix and update and cleanup pyparse,5
14,Add Py_BREAKPOINT and sys._breakpoint hooks,6
17,document the new behavior of get_event_loop() in Python 3.6,6
18,python3-config --ldflags gives a CMP0004 error due to a whitespace,2
19,documentation of ZipFile file name encoding,5
20,Allow 'continue' in 'finally' clause,6
21,"Move unwinding of stack for ""pseudo exceptions"" from interpreter to compiler.",6
22,Improve regular expression HOWTO,6
23,"Windows Python cannot handle an early PATH entry containing "".."" and python.exe",1
24,Add timezone support to datetime C API,6
26,Teach pdb to step through asyncio et al.,6
27,"support bytes paths in nt _getdiskusage, _getvolumepathname, and _getfinalpathname",6
28,argparse: default args in mutually exclusive groups,5
30,Remove the pyvenv script in Python 3.8,6
31,Specifying indent in the json.tool command,6
32,new Boolean ABC in numbers module,6
33,"docstrings of runpy.run_{module,path} are rather sparse",6
34,tkinter after_cancel does not behave correctly when called with id=None,5
35,venv: Deactivate.ps1 is not created when Activate.ps1 was used,5
36,pathlib: test_resolve_common fails on Windows,5
37,IDLE: Add tests for pyparse,6
38,Add 'Integer' as synonym for 'Integral' in numbers module.,6
39,PEP 1: Allow Provisional status for PEPs,6
40,"os.chdir(), os.getcwd() may crash on Windows in presence of races",1
41,tk busy command,6
42,os.chdir() may leak memory on Windows,3
43,Adding the ability for getpass to print asterisks when passowrd is typed,6
44,Error when subclassing a dataclass with a field that uses a defaultfactory,5
45,PEP 467 -- Minor API improvements for binary sequences,6
46,"FileInput ""inplace"" redirects output of other threads",5
47,Investigate providing Tcl/Tk 8.6 with OS X installers,6
49,ast.literal_eval() shouldn't accept booleans as numbers in AST,6
50,AST unparsing of infinity numbers,5
51,Remove specific constant AST types in favor of ast.Constant,6
52,Fused multiply-add: proposal to add math.fma(),6
53,profile.Profile() has no method enable(),5
54,Example suggest to use a TLSv1 socket,6
55,SSL match_hostname fails for internationalized domain names,6
56,os.posix_fallocate() generate exception with errno 0,5
58,pycapsule:PyObject * is NULL pointer,1
59,More revisions to test.support docs,6
60,Expose the subinterpreters C-API in Python for testing use.,6
61,os: Some functions may report bogus errors on Windows,5
63,PySequence_Length() raises TypeError on dict type,5
64,Replace debuglevel-related logic with logging,6
65,os: Users of path_converter don't handle fd == -1 properly,5
66,Fatal Python error: Py_Initialize: can't initialize sys standard streams,1
67,Key agreement parameters not accessible,6
68,Add __format__ method to ipaddress,6
69,Tools/scripts/pathfix.py leaves bunch of ~ suffixed files around with no opt-out,5
70,SSLContext.set_ecdh_curve() not accepting x25519,5
71,backport of #32305 causes regressions in various packages,1
72,Race condition in multiprocessing Queue,5
74,HTMLParser raises exception on some inputs,5
75,sys._enablelegacywindowsfsencoding() don't apply to os.fsencode and os.fsdecode,5
76,Pickling of typing types,5
78,Expose the subinterpreters C-API in the stdlib.,6
79,Optimize the `for y in [x]` idiom in comprehensions,7
80,Add __exit__() method to event loops,6
81,Add ** Map Unpacking Support for namedtuple,6
82,Deletion of large sets of strings is extra slow,7
83,TarFile.extract() suffers from hard links inside tarball,5
84,Misleading TypeError when pickling bytes to a file opened as text,6
85,"[EASY C][Windows] print('hello\n', end='', flush=True) raises OSError when ran with py -u",5
86,Remove cross-version binary compatibility,5
87,Disallow untagged C extension import on major platforms,6
88,Interrupt .communicate() on SIGTERM/INT,5
89,collections.abc.Indexable,6
90,return list of modes for a multimodal distribution instead of raising a StatisticsError,5
91,os.pipe  creates inheritable FDs with a bad internal state on Windows,5
92,argparse assertion failure with multiline metavars,5
93,"os.dup2(fd, fd, inheritable=False) behaves inconsistently",5
95,Additional dependencies and rule for `make regen-all`,6
97,iglob() has misleading documentation (does indeed store names internally),6
98,urllib.robotparser: incomplete __str__ methods,5
99,argparse.REMAINDER doesn't work as first argument,5
100,Lib/ be more pythonic,7
101,warn user of creation of multiple Tk instances,5
102,Add after_info as a function to tkinter,6
103,subprocess.check_output with shell=True ignores the timeout,6
104,Extend subprocess.kill to be able to kill process groups,6
105,Mac OSX Installer SSL Roots,5
107,urljoining an empty query string doesn't clear query string,5
108,Run gc_collect() before complaining about dangling threads,3
109,struct's docstring implies alignment is always performed,5
111,Add __iter__ support for mock_open,5
112,add support for path-like objects in sys.path,6
113,distutils should NOT preserve timestamps,6
115,subprocess may incorrectly redirect a low fd to stderr if another low fd is closed,5
116,subprocess.check_output() with timeout does not exit if child process does not generate output after timeout,5
118,Generate C code from token.py and not vice versa,6
119,Asyncio.Condition prevents cancellation,5
120,"Symbol table for comprehensions (list, dict, set) still includes temporary _[1] variable",5
121,Name mangling example in Python tutorial,6
122,ipaddress documentation errors,6
123,Several cookies with the same name get intermixed,5
124,snakebite.net is not available,5
125,pickle special methods are looked up on the instance rather than the type,5
126,multiprocessing segmentfault under Windows compatibility mode,1
127,argparse doesn't recognise two option aliases as equal,5
128,"mmap.flush() on Linux does not accept the ""offset"" and ""size"" args",5
129,test_gdb fails with Posix locale in 3.7,5
130,CJK support for textwrap,6
132,"getpass.getuser() raises an unspecified exceptions (ImportError, OSError, etc)",5
133,IDLE: Menu accelerator conflict between Format and Options,6
135,IDLE: Add docstrings and tests for codecontext,6
136,Add unicode grapheme cluster break algorithm,6
137,subprocess.check_output opens an unwanted command line window after fall creator update,5
138,Stack overflow when parse long expression to AST,1
139,Docs: Using Python on a Macintosh has bad info per Apple site,6
140,SSL shared_ciphers implementation wrong - returns configured but not shared ciphers,5
141,Improve object.__doc__ and help(object) output,5
142,Lib/_strptime.py: utilize all(),7
143,Regression in test -j behavior and time in 3.7.0b1,7
144,finally block doesn't re-raise exception if return statement exists inside,5
145,locally imported modules are unaccessible in lambdas in pdb,5
146,Unable to install Python 3.7.0a4 on Windows 10 - Error 0x80070643: Failed to install MSI package.,5
148,cProfile and profile don't work with pygtk/pyqt and sys.exit(0),6
149,match_hostname() error reporting bug,5
150,Significant performance problems with Python 2.7 built with clang 3.x or 4.x,7
151,textwrap output may change if you wrap a paragraph twice,5
152,context manager for measuring duration of blocks of code,6
153,Mutating a list while iterating:  clarify the docs,6
155,Expose ags_gen and agt_gen in asynchronous generators,6
156,socket lib beahavior change in 3.6.4,5
157,"Pool dies with excessive workers, but does not cleanup",3
158,smtplib.send_message mishandles 8BITMIME RFC 6152,5
159,subprocess._execute_child doesn't accept a single PathLike argument for args,6
160,Python 2.7 : Buffer Overflow vulnerability in exec() function,4
161,loop.create_server does not detect if the interface is IPv6 enabled,5
164,ctypes: memoryview gives incorrect PEP3118 itemsize for array of length zero,5
165,ctypes: memoryview gives incorrect PEP3118 format strings for both packed and unpacked structs,5
167,Add 'annotations' to the glossary,6
